episode,reward
0,1.2483570765056164
1,2.1792249259200243
2,3.5030691949703705
3,5.264584123174384
4,6.147507435812716
5,7.030438957338125
6,8.820045365091822
7,10.203762729668277
8,10.969025536700801
9,12.240305558493784
10,13.008596712087552
11,13.775731835302423
12,14.89671297108544
13,14.940072848756541
14,15.077613932500025
15,15.796470167879539
16,16.290054607712328
17,17.447178274009964
18,17.99316623624936
19,18.287014385581713
20,20.01983877004249
21,20.906950619799222
22,21.940714722143184
23,22.228340629036456
24,22.956149266773863
25,24.011610561628796
26,24.436113772917643
27,25.62396278209048
28,26.32364343713108
29,27.17779656223444
30,27.87694325611974
31,29.80308234837421
32,30.796333736005245
33,31.267478271527295
34,32.67875072757889
35,33.06832890259338
36,34.17276070009576
37,34.19292563815587
38,34.528832613706655
39,35.627263231641216
40,36.99649652163892
41,38.0821806622339
42,39.024356521039785
43,39.87380467324514
44,40.134543678061426
45,40.774621573864074
46,41.54430218838418
47,43.07286330149364
48,44.244672446277875
49,44.36315236859651
50,45.525194353293905
51,46.33265321308575
52,46.99419221293277
53,48.3000303573532
54,49.815530118601174
55,51.28117017815927
56,51.86156141654795
57,52.70695522862234
58,53.87258694432413
59,55.360359507885306
60,56.12077238896266
61,57.027942900630755
62,57.47477541362774
63,57.8766721015874
64,59.2829350127845
65,60.96105502706991
66,61.925049966279744
67,63.42681641522576
68,64.60763442774957
69,65.285074550447
70,66.46577235320122
71,68.2347906364342
72,69.21687761687922
73,70.99919944478621
74,70.68932689274135
75,72.10027814492896
76,73.14380167904805
77,73.99429800381512
78,75.04017839208286
79,75.04639393478242
80,75.93655799086366
81,77.11511427661954
82,78.85406129899029
83,79.59492618985347
84,80.19067938840688
85,80.9398008666146
86,82.39750192546565
87,83.5618774802955
88,84.29699737841197
89,85.55363109496865
90,86.60216986964267
91,88.0864923649091
92,88.73546581797044
93,89.57163474467156
94,90.37558066810547
95,90.64382319403941
96,91.7918833325717
97,92.92241096866165
98,93.92496769698288
99,94.8076741302953
